id,transaction_id,address_id,match_type,confidence_score,matched_at
59,none-323-south-5th-street-unit-2-brooklyn-ny-11211,3189,phonetic,0.6,2025-05-05T21:24:21.263693
60,none-364-manhattan-avenue-unit-4g-brooklyn-ny-11211,7666,phonetic,0.6,2025-05-05T21:24:21.265947
61,none-323-south-5th-street-unit-1-brooklyn-ny-11211,3189,phonetic,0.6,2025-05-05T21:24:21.267738
62,none-679-lorimer-street-none-brooklyn-ny-11211,7705,phonetic,0.6,2025-05-05T21:24:21.269486
63,none-211-jackson-street-unit-garden-brooklyn-ny-11211,14387,phonetic,0.6,2025-05-05T21:24:21.271534
64,none-76-roebling-street-unit-4b-brooklyn-ny-11211,1468,phonetic,0.6,2025-05-05T21:24:21.279749
65,none-30-bayard-street-unit-1a-brooklyn-ny-11211,3242,phonetic,0.6,2025-05-05T21:24:21.281737
66,none-165-north-10th-street-unit-3a-brooklyn-ny-11211,931,phonetic,0.6,2025-05-05T21:24:21.283501
67,none-171-north-1st-street-unit-3a-brooklyn-ny-11211,45,phonetic,0.6,2025-05-05T21:24:21.285205
68,none-139-skillman-avenue-unit-9b-brooklyn-ny-11211,82,phonetic,0.6,2025-05-05T21:24:21.286930
69,none-171-north-1st-street-unit-3c-brooklyn-ny-11211,45,phonetic,0.6,2025-05-05T21:24:21.288634
70,none-549-metropolitan-avenue-unit-a-williamsburg-ny-11211,22585,phonetic,0.6,2025-05-05T21:24:21.290405
71,none-76-richardson-street-unit-7-williamsburg-ny-11211,67,phonetic,0.6,2025-05-05T21:24:21.291996
72,none-139-skillman-avenue-unit-9ab-brooklyn-ny-11211,82,phonetic,0.6,2025-05-05T21:24:21.293657
73,none-108-division-avenue-unit-12a-brooklyn-ny-11211,1200,phonetic,0.6,2025-05-05T21:24:21.295429
74,none-256-withers-street-unit-6fam-brooklyn-ny-11211,940,phonetic,0.6,2025-05-05T21:24:21.297066
75,none-179-jackson-street-unit-5-brooklyn-ny-11211,17426,phonetic,0.6,2025-05-05T21:24:21.299385
76,none-15-roebling-street-unit-4a-brooklyn-ny-11211,1019,phonetic,0.6,2025-05-05T21:24:21.301041
77,none-100-maspeth-avenue-unit-2j-brooklyn-ny-11211,6,phonetic,0.6,2025-05-05T21:24:21.302717
78,none-432-grand-street-unit-201-brooklyn-ny-11211,468,phonetic,0.6,2025-05-05T21:24:21.304379
79,none-50-bayard-street-unit-2g-brooklyn-ny-11211,344,phonetic,0.6,2025-05-05T21:24:21.306023
80,none-224-north-6th-street-unit-2r-brooklyn-ny-11211,3190,phonetic,0.6,2025-05-05T21:24:21.307834
81,none-305-union-avenue-unit-4d-5d-brooklyn-ny-11211,4412,phonetic,0.6,2025-05-05T21:24:21.309556
82,none-305-union-avenue-unit-5c-brooklyn-ny-11211,4412,phonetic,0.6,2025-05-05T21:24:21.311218
83,none-179-jackson-street-unit-5a-brooklyn-ny-11211,17426,phonetic,0.6,2025-05-05T21:24:21.313589
84,none-50-bayard-street-unit-3j-brooklyn-ny-11211,344,phonetic,0.6,2025-05-05T21:24:21.315239
85,none-201-north-11th-street-unit-ph-brooklyn-ny-11211,204,phonetic,0.6,2025-05-05T21:24:21.319631
86,none-170-south-4th-street-none-brooklyn-ny-11211,1281,phonetic,0.6,2025-05-05T21:24:21.323931
87,none-444-humboldt-street-unit-2-brooklyn-ny-11211,11937,phonetic,0.6,2025-05-05T21:24:21.328041
88,none-147-hope-street-unit-3a-brooklyn-ny-11211,526,phonetic,0.6,2025-05-05T21:24:21.329725
89,none-174-jackson-street-unit-2a-brooklyn-ny-11211,506,phonetic,0.6,2025-05-05T21:24:21.331393
90,none-308-north-7th-street-unit-4d-brooklyn-ny-11211,873,phonetic,0.6,2025-05-05T21:24:21.333002
91,none-705-driggs-avenue-unit-13-brooklyn-ny-11211,79,phonetic,0.6,2025-05-05T21:24:21.334604
92,none-131-jackson-street-unit-phb-brooklyn-ny-11211,2186,phonetic,0.6,2025-05-05T21:24:21.336296
93,none-154-south-3rd-street-unit-24-brooklyn-ny-11211,763,phonetic,0.6,2025-05-05T21:24:21.337992
94,none-179-woodpoint-road-unit-2c-brooklyn-ny-11211,442,phonetic,0.6,2025-05-05T21:24:21.342153
95,none-476-union-avenue-unit-ph5a-brooklyn-ny-11211,5863,phonetic,0.6,2025-05-05T21:24:21.343804
96,none-218-north-5th-street-none-brooklyn-ny-11211,2347,phonetic,0.6,2025-05-05T21:24:21.345707
97,none-30-bayard-street-unit-5f-brooklyn-ny-11211,3242,phonetic,0.6,2025-05-05T21:24:21.347648
98,none-726-metropolitan-avenue-unit-6-williamsburg-ny-11211,8386,phonetic,0.6,2025-05-05T21:24:21.349378
99,none-96-woodpoint-road-unit-2c-brooklyn-ny-11211,9722,phonetic,0.6,2025-05-05T21:24:21.350932
100,none-128-woodpoint-road-unit-5-brooklyn-ny-11211,3958,phonetic,0.6,2025-05-05T21:24:21.352569
101,none-153-south-4th-street-unit-5-williamsburg-ny-11211,1154,phonetic,0.6,2025-05-05T21:24:21.354249
102,none-361-manhattan-avenue-unit-4a-brooklyn-ny-11211,6844,phonetic,0.6,2025-05-05T21:24:21.355884
103,none-215-north-10th-street-unit-pha-brooklyn-ny-11211,706,phonetic,0.6,2025-05-05T21:24:21.364615
104,none-139-skillman-avenue-unit-9a-brooklyn-ny-11211,82,phonetic,0.6,2025-05-05T21:24:21.366381
105,none-323-south-5th-street-unit-3-brooklyn-ny-11211,3189,phonetic,0.6,2025-05-05T21:24:21.368153
106,none-190-south-1st-street-unit-2b-brooklyn-ny-11211,1880,phonetic,0.6,2025-05-05T21:24:21.376495
107,none-88-withers-street-unit-5e-brooklyn-ny-11211,537,phonetic,0.6,2025-05-05T21:24:21.378202
108,none-850-metropolitan-avenue-unit-1e-brooklyn-ny-11211,38,phonetic,0.6,2025-05-05T21:24:21.382569
109,none-217-north-11th-street-unit-1-brooklyn-ny-11211,482,phonetic,0.6,2025-05-05T21:24:21.384203
110,none-222-withers-street-unit-2a-brooklyn-ny-11211,2171,phonetic,0.6,2025-05-05T21:24:21.387519
111,none-191-withers-street-unit-1r-brooklyn-ny-11211,9515,phonetic,0.6,2025-05-05T21:24:21.389735
112,none-96-woodpoint-road-unit-3a-brooklyn-ny-11211,9722,phonetic,0.6,2025-05-05T21:24:21.391349
113,none-2-bayard-street-unit-2d-brooklyn-ny-11211,2941,phonetic,0.6,2025-05-05T21:24:21.393225
114,none-150-north-5th-street-unit-3j-brooklyn-ny-11211,1845,phonetic,0.6,2025-05-05T21:24:21.395617
115,none-88-withers-street-unit-ph3-brooklyn-ny-11211,537,phonetic,0.6,2025-05-05T21:24:21.399907
116,none-684-lorimer-street-none-brooklyn-ny-11211,12139,phonetic,0.6,2025-05-05T21:24:21.401583
